Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Profile
M014,EPSG:32633,639310.0274856966,5290296.431566287,161.75199999999998,,16.85864341,47.75098235,163.838,Global,0.011,0.012,0.01,0.016,2.086,m,FIX,2024-10-08 10:12:00.4 UTC+02:00,2024-10-08 10:12:05.6 UTC+02:00,27,1.1,1.3,,,,16.85631028,47.75041728,166.507,185.891,,Global CS,11,10,0,0,0,M014
M015,EPSG:32633,639335.2332867428,5290298.3125517275,161.962,,16.85898012,47.75099382,164.048,Global,0.012,0.011,0.018,0.016,2.086,m,FLOAT,2024-10-08 10:14:05.4 UTC+02:00,2024-10-08 10:14:10.4 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,210.212,,Global CS,11,10,0,0,0,M015
M016,EPSG:32633,639343.5041877046,5290326.876068335,161.821,,16.85909956,47.7512489,163.907,Global,0.011,0.011,0.01,0.016,2.086,m,FIX,2024-10-08 10:16:25.8 UTC+02:00,2024-10-08 10:16:31.0 UTC+02:00,27,1.2,1.3,,,,16.85631028,47.75041728,166.507,228.681,,Global CS,11,10,0,0,0,M016
M017,EPSG:32633,639373.8872313909,5290335.284500121,161.84199999999998,,16.8595074,47.75131795,163.928,Global,0.011,0.01,0.011,0.015,2.086,m,FIX,2024-10-08 10:19:25.6 UTC+02:00,2024-10-08 10:19:30.8 UTC+02:00,27,1.3,1.5,,,,16.85631028,47.75041728,166.507,259.819,,Global CS,12,10,0,0,0,M017
M018,EPSG:32633,639380.8301012904,5290371.073056229,161.771,,16.85961145,47.75163829,163.857,Global,0.013,0.013,0.011,0.018,2.086,m,FIX,2024-10-08 10:21:48.4 UTC+02:00,2024-10-08 10:21:53.4 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,282.329,,Global CS,12,10,0,0,0,M018
M019,EPSG:32633,639382.6181155664,5290398.273211487,161.773,,16.85964401,47.75188251,163.859,Global,0.012,0.016,0.013,0.02,2.086,m,FIX,2024-10-08 10:24:34.8 UTC+02:00,2024-10-08 10:24:40.0 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,298.393,,Global CS,12,10,0,0,0,M019
M020,EPSG:32633,639351.0072130001,5290412.484356876,161.748,,16.85922704,47.75201714,163.834,Global,0.015,0.01,0.014,0.018,2.086,m,FIX,2024-10-08 10:26:51.0 UTC+02:00,2024-10-08 10:26:56.2 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,281.938,,Global CS,12,10,0,0,0,M020
M021,EPSG:32633,639327.3432575965,5290455.665052546,161.93599999999998,,16.85892532,47.75241057,164.022,Global,0.012,0.009,0.019,0.015,2.086,m,FLOAT,2024-10-08 10:29:32.2 UTC+02:00,2024-10-08 10:29:37.2 UTC+02:00,26,1.4,1.6,,,,16.85631028,47.75041728,166.507,295.926,,Global CS,12,10,0,0,0,M021
M022,EPSG:32633,639268.8908696342,5290454.654658175,161.762,,16.85814554,47.75241411,163.848,Global,0.011,0.013,0.014,0.017,2.086,m,FIX,2024-10-08 10:32:34.8 UTC+02:00,2024-10-08 10:32:40.0 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,261.207,,Global CS,12,10,0,0,0,M022
M023,EPSG:32633,639219.3869087815,5290490.235263238,161.87599999999998,,16.8574968,47.75274477,163.962,Global,0.013,0.012,0.015,0.018,2.086,m,FIX,2024-10-08 10:36:08.2 UTC+02:00,2024-10-08 10:36:13.4 UTC+02:00,27,1.2,1.3,,,,16.85631028,47.75041728,166.507,273.644,,Global CS,13,0,0,0,0,M023
